255,255,255,white,1
175,181,199,light bluish gray,86
156,156,156,light gray,9
107,90,90,dark gray,10
89,93,96,dark bluish gray,85
33,33,33,black,11
106,14,21,dark red,59
179,0,6,red,5
178,34,34,rust,27
255,99,71,coral,220
137,53,29,reddish brown,88
83,33,21,brown,8
51,0,0,dark brown,120
144,116,80,dark tan,69
222,198,156,tan,2
254,204,176,light nougat,90
255,175,125,nougat,28
227,160,91,medium nougat,150
179,84,8,dark orange,68
255,126,20,orange,4
255,165,49,medium orange,31
247,186,48,bright light orange,110
247,209,23,yellow,3
243,224,85,bright light yellow,103
235,238,143,light lime,35
223,238,165,yellowish green,158
189,198,24,medium lime,76
166,202,85,lime,34
124,144,81,olive green,155
46,85,67,dark green,80
0,100,46,green,6
16,203,49,bright green,36
98,245,142,medium green,37
165,219,181,light green,38
118,162,144,sand green,48
0,138,128,dark turquoise,39
49,181,202,light turquoise,40
181,211,214,aqua,41
204,255,255,light aqua,152
20,48,68,dark blue,63
0,87,166,blue,7
51,153,255,dark azure,153
66,192,251,medium azure,156
97,175,255,medium blue,42
107,173,214,maersk blue,72
159,195,233,bright light blue,105
180,210,227,light blue,62
90,113,132,sand blue,55
80,108,239,blue-violet,97
52,72,164,violet,43
201,202,226,light violet,44
95,38,131,dark purple,89
165,73,156,purple,24
218,112,214,light purple,93
136,94,158,medium lavender,157
177,140,191,lavender,154
181,41,82,magenta,71
200,112,128,dark pink,47
255,187,255,bright pink,104
255,192,203,pink,23
